#run,max_H,min_H,a_BL_mean,a_BL_median,a_BL_var,i_BL_mean_i,i_BL_var_i,i_BL_mean_e,i_BL_var_e,colless,sackin,WD_ratio,DeltaW,max_ladder,staircaseness_1,staircaseness_2,max_L,t_max_L,slope_1,slope_2,slope_ratio
777,49.154907,46.00769,47.17038076,46.883423,1.05842261635127,2.78550094117647,20.626237202241,32.682245047619,22.3056077412521,24,1179.259519,2.33333333333333,6,48,0.541666666666667,1.74930555555556,25,31.1304449292929,0.674580785713074,-1.40973617259222,-0.478515625
778,49.967285,46.002563,47.49971196,46.915039,1.87563521759779,1.93981933333333,3.45624400333733,31.6328474285714,14.6451770756576,52,1187.492799,1.42857142857143,4,48,0.625,2.30324074074074,25,23.2470948989899,0.903338679144484,-0.933119075160236,-0.968085106382979
779,49.78064,46.001099,47.02084468,46.863037,1.13582402041214,3.123703,14.440386936013,37.6489257222222,26.7957523666967,154,1175.521117,0.428571428571429,4,47,0.708333333333333,6.10833333333333,26,0,NaN,-0.512498401004989,NaN
780,49.830078,46.001831,47.33123528,46.844604,1.46277728249979,4.8125,27.3816166131698,32.8074565263158,83.727970814356,123,1183.280882,0.666666666666667,4,40,0.666666666666667,5.15277777777778,25,33.0466184444444,0.211821975424441,-1.52057918072545,-0.139303482587065
781,49.869385,46.008057,47.20328616,46.81897,1.34380409545431,0.517615692307692,0.337965065386982,36.8834092777778,1.63433411205847,62,1180.082154,1.11111111111111,4,43,0.625,2.31041666666667,25,11.3534934848485,1.84965094911315,-0.639728899693271,-2.89130434782609
782,49.605713,46.003418,47.58071288,47.640137,1.16591629034869,4.44676377777778,54.8749736463404,35.2966565263158,103.06667201368,189,1189.517822,0.4,2,46,0.75,8.22916666666667,28,0,NaN,-0.555490256875771,NaN
783,49.756592,46,47.24819824,46.959595,1.40189729670427,3.866412,14.3438991968489,30.0769652777778,10.4927786504005,133,1181.204956,0.461538461538462,4,-Inf,0.583333333333333,4.54166666666667,25,36.4443212929293,0.466464990892785,-1.94927487958961,-0.239301801801802
784,49.605713,46.004395,47.360879,47.113525,1.54756056242675,0.6536865,0.41109130297375,35.9669061052632,3.23913352593354,64,1184.021975,1.5,6,32,0.5,2.54861111111111,25,16.6928711313131,1.25802205233631,-0.752048347770274,-1.67279411764706
785,49.781128,46.006836,47.48180656,47.366455,1.42138779728759,1.31730769230769,1.81898340471744,31.1030543888889,4.97948696625008,48,1187.045164,1.5,4,45,0.666666666666667,2.22797619047619,25,18.7240693333333,1.12155107023744,-0.798481324009792,-1.40460526315789
786,49.756592,46.007812,47.35557124,47.25061,1.30002511609261,3.52378628571429,16.1122332717593,36.32109075,36.9305881271728,148,1183.889281,0.4,4,29,0.583333333333333,5.75,25,22.6545781010101,0.22070594198252,-0.91946928282529,-0.240036231884058
787,49.681519,46.000977,47.3299756,47.062256,1.43682400601658,3.11574977777778,16.6063818753355,37.77937625,17.7098841335462,140,1183.24939,0.615384615384615,6,28,0.583333333333333,5.67361111111111,25,21.1444981515152,0.236468132947469,-0.871553975720672,-0.271317829457364
788,49.465454,46.00415,47.37259768,47.71814,1.27885636498498,1.33334584615385,1.31772185739475,27.660106,6.44888043464391,99,1184.314942,0.666666666666667,2,45,0.708333333333333,3.88888888888889,25,8.93489949494949,2.57417556996594,-0.907464948284115,-2.83666666666667
789,49.383911,46.005737,47.3015332,47.167358,1.26756646108358,6.167806,47.4073640673675,27.32367555,87.5826510134705,91,1182.53833,1.2,6,45,0.541666666666667,3.67708333333333,25,42.0304681414141,0.309299433835966,-3.77747947596115,-0.0818798449612403
790,49.836792,46.000488,47.5051074,47.039063,1.77137690627083,4.93271107692308,30.0332699970268,24.4438001666667,57.516176459161,56,1187.627685,1.11111111111111,4,46,0.583333333333333,2.08680555555556,25,36.0109678383838,0.638694302891922,-1.87122478037901,-0.341324200913242
791,49.055054,46.008423,47.06146476,47.020386,0.961015263477357,6.24131266666667,100.198063965866,33.3773345,205.263587835255,91,1176.536619,0.666666666666667,6,47,0.583333333333333,3.59573412698413,25,43.2010081414141,0.0231476079615226,-4.94432906058123,-0.0046816479400749
792,49.819946,46.000488,47.37990716,47.177612,1.37716340874422,2.30060685714286,6.69757801101584,30.1737060588235,8.77938904011728,67,1184.497679,0.888888888888889,4,48,0.625,2.66666666666667,25,20.7114922424242,1.11049458584583,-0.853835654105717,-1.30059523809524
793,49.781128,46.001709,47.30802244,46.790405,1.58009301730509,3.02474975,17.9711728456259,39.6335664705882,26.4515760348793,200,1182.700561,0.222222222222222,2,46,0.75,8.25,30,0,NaN,-0.594492197884395,NaN
